#DroneDeploy	4.21.0.1517
#Flight Recorder
User ID	58adcdaff6b11d0001fff143
Organization ID	5ce4361f919c5f0001530f71
Session ID	unknown_plan_id
Session Start	11/13/2020 01:12:40
#Device
Device Model	iPad
Device User Interface Idiom	iPad	1
Device Operating System	iOS	14.1
Device SSID
#Aircraft
Aircraft Model	Phantom 4 Pro
Aircraft Name	Fake Aircraft Name
Aircraft Firmware	Fake Aircraft Firmware Package
#Aircraft Battery
Full Charge Volume (mAh)	1
Remaining Life (%)	1
Discharges	4
#Components
Battery Cells Number	0
Battery Serial Number	Fake Battery Serial
Battery Firmware	Fake Battery Firmware
Flight Controller Serial Number	Fake FC Serial
Flight Controller Firmware	Fake FC Firwmare
Gimbal Firmware	Fake Gimbal Firmware
Remote Control Serial Number	Fake RC Serial
Remote Control Firmware	Fake RC Firmware
Camera Serial Number	Fake Camera Serial
Date/Time (UTC)	Elapsed Time (sec)	Info	Device Latitude (Degrees)	Device Longitude (Degrees)	Device Location Last Updated (ms)	Aircraft Battery Power (%)	Aircraft Battery Charge (mAh)	Aircraft Battery Current (mA)	Aircraft Battery Voltage (mV)	Aircraft Battery Temperature (Fahrenheit)	Aircraft Battery Last Updated (ms)	Aircraft Battery Cell 1 Voltage	Aircraft Battery Cell 2 Voltage	Aircraft Battery Cell 3 Voltage	Aircraft Battery Cell 4 Voltage	Aircraft Battery Cell Voltage Last Updated (ms)	Aircraft Latitude (Degrees)	Aircraft Longitude (Degrees)	Aircraft Speed (mph)	Aircraft Barometric Altitude (ft)	Aircraft Heading (Degrees)	Aircraft Vel - X (mph)	Aircraft Vel - Y (mph)	Aircraft Vel - Z (mph)	Aircraft Pitch (Degrees)	Aircraft Roll (Degrees)	Aircraft Satellites	Aircraft Motors On	Aircraft Flying	Aircraft Flight Mode	Aircraft Flight Mode Value	Aircraft IMU Preheating	Aircraft Ultrasonic On	Aircraft Ultrasonic Altitude (ft)	Aircraft Vision On	Aircraft GPS Signal	Aircraft GPS Signal Value	Aircraft No-fly	Aircraft No-fly Value	Aircraft No-fly Latitude (Degrees)	Aircraft No-fly Longitude (Degrees)	Aircraft No-fly Radius (ft)	Home Latitude (Degrees)	Home Longitude (Degrees)	Aircraft Smart Go-home Flight Time Remaining (sec)	Aircraft Smart Go-home Flight Return Time (sec)	Aircraft Smart Go-home Landing Time (sec)	Aircraft Smart Go-home Return Power (%)	Aircraft Smart Go-home Landing Power (%)	Aircraft Smart Go-home Radius (ft)	Aircraft Smart Go-home Countdown (sec)	Aircraft Smart Go-home Requesting	Aircraft System State Last Updated (ms)	Gimbal Pitch (Degrees)	Gimbal Roll (Degrees)	Gimbal Yaw (Degrees)	Gimbal Mode	Gimbal Mode Value	Gimbal Pitch at Stop	Gimbal Roll at Stop	Gimbal Yaw at Stop	Gimbal Status Last Updated (ms)	Landing Gear is Movable	Landing Gear Status	Landing Gear Status Value	Landing Gear Mode	Landing Gear Mode Value	Landing Gear Last Updated (ms)	RC State	RC State Value	RC Left Horizontal	RC Left Vertical	RC Right Horizontal	RC Right Vertical	RC Left Wheel	RC Right Wheel	RC Landing Gear	RC Landing Gear Value	RC Go Home	RC Record	RC Shutter	RC Playback	RC Pause	RC Custom 1	RC Custom 2	RC State Last Updated (ms)	RC Battery (%)	RC Battery State Last Updated (ms)	RC Sattelites	RC Horizontal Accuaracy (ft)	RC Latitude (Degrees)	RC Longitude (Degrees)	RC GSP Data is Valid	RC GPS State Last Updated (ms)	RC Signal 1	RC Signal 2	RC Signal Last Updated (ms)	LB Signal 1	LB Signal 2	LB Signal Last Updated (ms)	Aircraft Camera Mode	Aircraft Camera Mode Value	Aircraft Camera Overheated	Aircraft Camera Sensor Error	Aircraft Camera Recording	Aircraft Camera Raw Capture	Aircraft Camera Interval Capture	Aircraft Camera Burst Capture	Aircraft Camera Single Capture	Aircraft Camera Storing Photo	Aircraft Camera State Last Updated (ms)	Aircraft Camera SD Card Exists	Aircraft Camera SD Card Remaining (%)	Aircraft Camera SD Card State Last Updated (ms)	Aircraft Camera Changeable Lens Supported	Aircraft Camera Lens Installed	Aircraft Camera Lens Type	Aircraft Camera Lens AF Enabled	Aircraft Camera Lens Focus Mode	Aircraft Camera Lens Focus Mode Value	Aircraft Camera Lens Focus Status	Aircraft Camera Lens Focus Status Value	Aircraft Camera Lens MF Assistant	Aircraft Camera Lens AF Assistant	Aircraft Camera Lens Assistant Working	Aircraft Camera Lens State Last Updated (ms)	Compass Index	Compass Sensor Value	Compass State	Compass State Last Updated (ms)	Compass Calibration State	Compass Calibration Last Updated (ms)	Device > Aircraft Distance - XY (ft)
11/13/2020 01:13:38	57.931		0.0	0.0	57930.83667755127	56	1	1	25	73.4	1.2688636779785156	0	0	0	0	57930.80711364746	37.772392973496345	-122.4074165298083	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.5048980712890625	-90.0	0.0	0.0	Free	0	1	1	1	783.4069728851318	0	Unknown	0	Unknown	3	57930.83906173706	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	0.9930133819580078	100	0.9539127349853516	1	0.0	0.0	0.0	1	1.3039112091064453	0	0	57930.843114852905	0	0	57930.84406852722	Shoot Photo	0	0	0	0	0	0	0	0	0	783.6661338806152	1	100.0	783.5628986358643	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	57930.864334106445	0	91.0	2	1.4772415161132812	255	57930.86504936218	3902870.3033740567
11/13/2020 01:13:38	58.111		0.0	0.0	58110.857009887695	56	1	1	25	73.4	1.21307373046875	0	0	0	0	58110.83698272705	37.77239280461855	-122.4074051576907	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.4498233795166016	-90.0	0.0	0.0	Free	0	1	1	1	963.433027267456	0	Unknown	0	Unknown	3	58110.864877700806	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	0.9760856628417969	100	0.9419918060302734	1	0.0	0.0	0.0	1	1.255035400390625	0	0	58110.86702346802	0	0	58110.867977142334	Shoot Photo	0	0	0	0	0	0	0	0	0	0.1308917999267578	1	100.0	963.5829925537109	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	58110.88418960571	0	91.0	2	1.4119148254394531	255	58110.88490486145	3902870.021167915
11/13/2020 01:13:38	58.297		0.0	0.0	58296.66996002197	56	1	1	25	73.4	1.386880874633789	0	0	0	0	58296.64611816406	37.772392635739656	-122.40739378557313	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.6601085662841797	-90.0	0.0	0.0	Free	0	1	1	1	185.76526641845703	0	Unknown	0	Unknown	3	58296.688079833984	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.033782958984375	100	0.9768009185791016	1	0.0	0.0	0.0	1	1.4271736145019531	0	0	58296.69690132141	0	0	58296.69904708862	Shoot Photo	0	0	0	0	0	0	0	0	0	185.96696853637695	1	100.0	185.9140396118164	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	58296.72718048096	0	91.0	2	1.6317367553710938	255	58296.730041503906	3902869.7389617683
11/13/2020 01:13:38	58.484		0.0	0.0	58483.773708343506	56	1	1	25	73.4	1.1401176452636719	0	0	0	0	58483.73889923096	37.77239246685968	-122.40738241345562	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.360177993774414	-90.0	0.0	0.0	Free	0	1	1	1	372.8451728820801	0	Unknown	0	Unknown	3	58483.766078948975	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	0.8759498596191406	100	0.8368492126464844	1	0.0	0.0	0.0	1	1.1630058288574219	0	0	58483.76798629761	0	0	58483.7691783905	Shoot Photo	0	0	0	0	0	0	0	0	0	373.032808303833	1	100.0	372.97916412353516	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	58483.787059783936	0	91.0	2	1.3270378112792969	255	58483.78801345825	3902869.45675562
11/13/2020 01:13:39	58.665		0.0	0.0	58664.77298736572	56	1	1	25	73.4	2.2051334381103516	0	0	0	0	58664.74914550781	37.772392297978605	-122.4073710413382	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	2.473115921020508	-90.0	0.0	0.0	Free	0	1	1	1	553.8661479949951	0	Unknown	0	Unknown	3	58664.78705406189	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.91497802734375	100	1.8761157989501953	1	0.0	0.0	0.0	1	2.251148223876953	0	0	58664.79182243347	0	0	58664.79396820068	Shoot Photo	0	0	0	0	0	0	0	0	0	554.0609359741211	1	100.0	554.0080070495605	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	58664.817333221436	0	91.0	2	2.418041229248047	255	58664.81900215149	3902869.1745494693
11/13/2020 01:13:39	58.835		0.0	0.0	58835.08086204529	56	1	1	25	73.4	172.51300811767578	0	0	0	0	58835.076093673706	37.772392297978605	-122.4073710413382	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	172.7910041809082	-90.0	0.0	0.0	Free	0	1	1	1	724.1840362548828	0	Unknown	0	Unknown	3	58835.10398864746	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	172.23191261291504	100	172.19305038452148	1	0.0	0.0	0.0	1	172.56712913513184	0	0	58835.10708808899	0	0	58835.108041763306	Shoot Photo	0	0	0	0	0	0	0	0	0	724.3719100952148	1	100.0	724.3189811706543	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	58835.12616157532	0	91.0	2	172.72615432739258	255	58835.127115249634	3902869.1745494693
11/13/2020 01:13:39	59.018		0.0	0.0	59017.32587814331	56	1	1	25	73.4	1.1479854583740234	0	0	0	0	59017.29106903076	37.772391960213184	-122.40734829710347	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.3880729675292969	-90.0	0.0	0.0	Free	0	1	1	1	906.3961505889893	0	Unknown	0	Unknown	3	59017.317056655884	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	0.8959770202636719	100	0.8628368377685547	1	0.0	0.0	0.0	1	1.1670589447021484	0	0	59017.3180103302	0	0	59017.31896400452	Shoot Photo	0	0	0	0	0	0	0	0	0	0.10800361633300781	1	100.0	906.5260887145996	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	59017.33303070068	0	91.0	2	1.3501644134521484	255	59017.33422279358	3902868.610137155
11/13/2020 01:13:39	59.197		0.0	0.0	59196.6028213501	56	1	1	25	73.4	1.2481212615966797	0	0	0	0	59196.57301902771	37.77239179132883	-122.4073369249862	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.5039443969726562	-90.0	0.0	0.0	Free	0	1	1	1	179.22306060791016	0	Unknown	0	Unknown	3	59196.60401344299	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	0.9789466857910156	100	0.942230224609375	1	0.0	0.0	0.0	1	1.271963119506836	0	0	59196.60782814026	0	0	59196.609020233154	Shoot Photo	0	0	0	0	0	0	0	0	0	179.40306663513184	1	100.0	179.3498992919922	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	59196.63429260254	0	91.0	2	1.4729499816894531	255	59196.638107299805	3902868.3279309934
11/13/2020 01:13:39	59.376		0.0	0.0	59375.765800476074	56	1	1	25	73.4	1.2302398681640625	0	0	0	0	59375.734090805054	37.772391622443386	-122.40732555286895	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.4781951904296875	-90.0	0.0	0.0	Free	0	1	1	1	358.3838939666748	0	Unknown	0	Unknown	3	59375.76603889465	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	0.9810924530029297	100	0.9489059448242188	1	0.0	0.0	0.0	1	1.2619495391845703	0	0	59375.773906707764	0	0	59375.776052474976	Shoot Photo	0	0	0	0	0	0	0	0	0	358.5691452026367	1	100.0	358.51383209228516	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	59375.79822540283	0	91.0	2	1.4529228210449219	255	59375.80108642578	3902868.045724827
11/13/2020 01:13:39	59.557		0.0	0.0	59556.506872177124	56	1	1	25	73.4	1.2068748474121094	0	0	0	0	59556.47110939026	37.77239145355685	-122.40731418075178	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.4758110046386719	-90.0	0.0	0.0	Free	0	1	1	1	539.1240119934082	0	Unknown	0	Unknown	3	59556.50806427002	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	0.9059906005859375	100	0.8749961853027344	1	0.0	0.0	0.0	1	1.2471675872802734	0	0	59556.516885757446	0	0	59556.516885757446	Shoot Photo	0	0	0	0	0	0	0	0	0	539.3080711364746	1	100.0	539.2518043518066	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	59556.53429031372	0	91.0	2	1.4019012451171875	255	59556.53500556946	3902867.7635186585
11/13/2020 01:13:40	59.738		0.0	0.0	59737.260818481445	56	1	1	25	73.4	181.96392059326172	0	0	0	0	59737.23006248474	37.77239145355685	-122.40731418075178	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	182.22880363464355	-90.0	0.0	0.0	Free	0	1	1	1	719.8758125305176	0	Unknown	0	Unknown	3	59737.25700378418	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	181.65206909179688	100	181.61988258361816	1	0.0	0.0	0.0	1	181.9920539855957	0	0	59737.26010322571	0	0	59737.261056900024	Shoot Photo	0	0	0	0	0	0	0	0	0	178.75909805297852	1	100.0	178.72190475463867	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	59737.279176712036	0	91.0	2	182.14702606201172	255	59737.28108406067	3902867.7635186585
11/13/2020 01:13:40	59.911		0.0	0.0	59910.40778160095	56	1	1	25	73.4	1.5671253204345703	0	0	0	0	59910.37702560425	37.7723911157805	-122.40729143651757	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.8687248229980469	-90.0	0.0	0.0	Free	0	1	1	1	893.0239677429199	0	Unknown	0	Unknown	3	59910.404920578	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.2440681457519531	100	1.2068748474121094	1	0.0	0.0	0.0	1	1.5940666198730469	0	0	59910.40802001953	0	0	59910.40802001953	Shoot Photo	0	0	0	0	0	0	0	0	0	351.90677642822266	1	100.0	351.870059967041	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	59910.428047180176	0	91.0	2	1.8308162689208984	255	59910.43019294739	3902867.199106311
11/13/2020 01:13:40	60.089		0.0	0.0	60088.90199661255	56	1	1	25	73.4	1.2428760528564453	0	0	0	0	60088.890075683594	37.77239094689069	-122.40728006440054	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.6160011291503906	-90.0	0.0	0.0	Free	0	1	1	1	1071.544885635376	0	Unknown	0	Unknown	3	60088.92798423767	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	0.9500980377197266	100	0.9160041809082031	1	0.0	0.0	0.0	1	1.27410888671875	0	0	60088.93299102783	0	0	60088.93418312073	Shoot Photo	0	0	0	0	0	0	0	0	0	0.14090538024902344	1	100.0	530.3950309753418	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	60088.95206451416	0	91.0	2	1.5070438385009766	255	60088.95301818848	3902866.916900132
11/13/2020 01:13:40	60.265		0.0	0.0	60264.13679122925	56	1	1	25	73.4	1.2640953063964844	0	0	0	0	60264.122009277344	37.77239077799978	-122.40726869228355	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.5230178833007812	-90.0	0.0	0.0	Free	0	1	1	1	175.17614364624023	0	Unknown	0	Unknown	3	60264.163970947266	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.0447502136230469	100	1.0120868682861328	1	0.0	0.0	0.0	1	1.3222694396972656	0	0	60264.16993141174	0	0	60264.171838760376	Shoot Photo	0	0	0	0	0	0	0	0	0	175.38189888000488	1	100.0	175.33111572265625	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	60264.198303222656	0	91.0	2	1.5130043029785156	255	60264.20092582703	3902866.63469395
11/13/2020 01:13:40	60.447		0.0	0.0	60446.74491882324	56	1	1	25	73.4	183.87317657470703	0	0	0	0	60446.720123291016	37.77239077799978	-122.40726869228355	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	184.11588668823242	-90.0	0.0	0.0	Free	0	1	1	1	357.76519775390625	0	Unknown	0	Unknown	3	60446.752071380615	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	183.63285064697266	100	183.59899520874023	1	0.0	0.0	0.0	1	183.90893936157227	0	0	60446.75707817078	0	0	60446.75803184509	Shoot Photo	0	0	0	0	0	0	0	0	0	357.96618461608887	1	100.0	357.9130172729492	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	60446.77829742432	0	91.0	2	184.09204483032227	255	60446.77996635437	3902866.63469395
11/13/2020 01:13:41	60.630		0.0	0.0	60629.167795181274	56	1	1	25	73.4	181.9140911102295	0	0	0	0	60629.1389465332	37.772390609107774	-122.40725732016664	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	182.21092224121094	-90.0	0.0	0.0	Free	0	1	1	1	540.1883125305176	0	Unknown	0	Unknown	3	60629.17494773865	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	181.52618408203125	100	181.47802352905273	1	0.0	0.0	0.0	1	181.91885948181152	0	0	60629.18400764465	0	0	60629.185914993286	Shoot Photo	0	0	0	0	0	0	0	0	0	540.3940677642822	1	100.0	540.3399467468262	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	60629.20522689819	0	91.0	2	182.17802047729492	255	60629.20689582825	3902866.352487765
11/13/2020 01:13:41	60.813		0.0	0.0	60812.40177154541	56	1	1	25	73.4	1.4181137084960938	0	0	0	0	60812.374114990234	37.77239027132049	-122.40723457593292	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.661062240600586	-90.0	0.0	0.0	Free	0	1	1	1	723.4230041503906	0	Unknown	0	Unknown	3	60812.40916252136	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.1587142944335938	100	1.1279582977294922	1	0.0	0.0	0.0	1	1.4619827270507812	0	0	60812.41297721863	0	0	60812.413930892944	Shoot Photo	0	0	0	0	0	0	0	0	0	723.6230373382568	1	100.0	723.5710620880127	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	60812.4361038208	0	91.0	2	1.6150474548339844	255	60812.43801116943	3902865.788075383
11/13/2020 01:13:41	60.988		0.0	0.0	60988.011837005615	56	1	1	25	73.4	1.27410888671875	0	0	0	0	60988.04712295532	37.772390102425206	-122.40722320381616	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.5819072723388672	-90.0	0.0	0.0	Free	0	1	1	1	899.1003036499023	0	Unknown	0	Unknown	3	60988.085985183716	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.0449886322021484	100	1.0142326354980469	1	0.0	0.0	0.0	1	1.40380859375	0	0	60988.12699317932	0	0	60988.12794685364	Shoot Photo	0	0	0	0	0	0	0	0	0	0.23412704467773438	1	100.0	899.2929458618164	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	60988.15822601318	0	91.0	2	1.5900135040283203	255	60988.157987594604	3902865.505869188
11/13/2020 01:13:41	61.169		0.0	0.0	61169.0559387207	56	1	1	25	73.4	1.4042854309082031	0	0	0	0	61169.04592514038	37.77238993352883	-122.40721183169943	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.6889572143554688	-90.0	0.0	0.0	Free	0	1	1	1	180.88984489440918	0	Unknown	0	Unknown	3	61169.09384727478	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.1301040649414062	100	1.09100341796875	1	0.0	0.0	0.0	1	1.4691352844238281	0	0	61169.10696029663	0	0	61169.10910606384	Shoot Photo	0	0	0	0	0	0	0	0	0	181.20622634887695	1	100.0	181.07199668884277	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	61169.13604736328	0	91.0	2	1.6789436340332031	255	61169.14105415344	3902865.2236629887
11/13/2020 01:13:41	61.346		0.0	0.0	61345.20483016968	56	1	1	25	73.4	1.2841224670410156	0	0	0	0	61345.17192840576	37.77238976463136	-122.40720045958277	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.5671253204345703	-90.0	0.0	0.0	Free	0	1	1	1	357.00178146362305	0	Unknown	0	Unknown	3	61345.203161239624	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.0290145874023438	100	0.9939670562744141	1	0.0	0.0	0.0	1	1.3151168823242188	0	0	61345.20697593689	0	0	61345.207929611206	Shoot Photo	0	0	0	0	0	0	0	0	0	357.3012351989746	1	100.0	357.1648597717285	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	61345.2262878418	0	91.0	2	1.5149116516113281	255	61345.227003097534	3902864.9414567864
11/13/2020 01:13:41	61.528		0.0	0.0	61528.04088592529	56	1	1	25	73.4	1.2302398681640625	0	0	0	0	61528.018951416016	37.77238959573281	-122.40718908746614	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.4541149139404297	-90.0	0.0	0.0	Free	0	1	1	1	539.8519039154053	0	Unknown	0	Unknown	3	61528.05495262146	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	0.9720325469970703	100	0.9350776672363281	1	0.0	0.0	0.0	1	1.2819766998291016	0	0	61528.06496620178	0	0	61528.066873550415	Shoot Photo	0	0	0	0	0	0	0	0	0	540.1630401611328	1	100.0	540.0290489196777	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	61528.0921459198	0	91.0	2	1.4431476593017578	255	61528.09500694275	3902864.6592505802
11/13/2020 01:13:42	61.713		0.0	0.0	61712.71467208862	56	1	1	25	73.4	2.0151138305664062	0	0	0	0	61712.68320083618	37.77238942683316	-122.40717771534956	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	2.2270679473876953	-90.0	0.0	0.0	Free	0	1	1	1	724.5218753814697	0	Unknown	0	Unknown	3	61712.72397041321	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.77001953125	100	1.737833023071289	1	0.0	0.0	0.0	1	2.0651817321777344	0	0	61712.73684501648	0	0	61712.73899078369	Shoot Photo	0	0	0	0	0	0	0	0	0	2.6350021362304688	1	100.0	2.5980472564697266	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	61712.7571105957	0	91.0	2	2.221822738647461	255	61712.75806427002	3902864.377044372
11/13/2020 01:13:42	61.890		0.0	0.0	61889.31083679199	56	1	1	25	73.4	1.2612342834472656	0	0	0	0	61889.30892944336	37.77238925793242	-122.40716634323304	22.369418519393044	150.91864	91.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.5230178833007812	-90.0	0.0	0.0	Free	0	1	1	1	901.1449813842773	0	Unknown	0	Unknown	3	61889.344930648804	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.1162757873535156	100	1.0819435119628906	1	0.0	0.0	0.0	1	1.3260841369628906	0	0	61889.34779167175	0	0	61889.350175857544	Shoot Photo	0	0	0	0	0	0	0	0	0	179.2471408843994	1	100.0	179.21018600463867	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	61889.36805725098	0	91.0	2	1.4889240264892578	255	61889.37020301819	3902864.0948381573
